MODE_DSC,CARRIER_TYPE,FREIGHT_RATES_ID,PORTCARRIER_ID
AIR,V888888883_1,57653,63292
AIR,V888888883_1,57654,63292
AIR,V888888883_1,57655,63292
AIR,V888888883_1,57656,63292
AIR,V888888883_1,57657,63292
AIR,V888888883_1,57658,63292
AIR,V888888883_1,57659,63292
AIR,V888888883_1,57660,63292
AIR,V888888883_1,57661,63292
AIR,V888888883_1,57662,63292
AIR,V888888883_1,57663,63292
AIR,V888888883_1,57664,63292
AIR,V888888883_1,57665,63292
AIR,V888888883_1,57666,63292
AIR,V888888883_1,57667,63292
AIR,V888888883_1,57668,63292
AIR,V888888883_1,57669,63292
AIR,V888888883_1,57670,63292
AIR,V888888883_1,57671,63292
AIR,V888888883_1,57672,63292
AIR,V888888883_1,57673,63292
AIR,V888888883_1,57674,63292
AIR,V888888883_1,57675,63292
AIR,V888888883_1,57676,63292
AIR,V888888883_1,57677,63292
AIR,V888888883_1,57678,63292
AIR,V888888883_1,57679,63292
AIR,V888888883_1,57680,63292
AIR,V888888883_1,57681,63292
AIR,V888888883_1,57682,63292
AIR,V888888883_1,57683,63292
AIR,V888888883_1,57684,63292
AIR,V888888883_1,57685,63292
AIR,V888888883_1,57686,63292
AIR,V888888883_1,57687,63292
AIR,V888888883_1,57688,63292
AIR,V888888883_1,57689,63292
AIR,V888888883_1,57690,63292
AIR,V888888883_1,57691,63292
AIR,V888888883_1,57692,63292
AIR,V888888883_1,57693,63292
AIR,V888888883_1,57694,63292
AIR,V888888883_1,57695,63292
AIR,V888888883_1,57696,63292
AIR,V888888883_1,57697,63292
AIR,V888888883_1,57698,63292
AIR,V888888883_1,57699,63292
AIR,V888888883_1,57700,63292
AIR,V888888883_1,57701,63292
AIR,V888888883_1,57702,63292
AIR,V888888883_1,57703,63292
AIR,V888888883_1,57704,63292
AIR,V888888883_1,57705,63292
AIR,V888888883_1,57706,63292
AIR,V888888883_1,57707,63292
AIR,V888888883_1,57708,63292
AIR,V888888883_1,57709,63292
AIR,V888888883_1,57710,63292
AIR,V888888883_1,57711,63292
