PLANTCODE_CONSTRAINT_ID,PLANTPRODCUST_ID,PORT_LOCATION_ID
55231,59779,
55232,62807,
55233,62886,
55234,60828,
55235,62092,
55236,61625,
55237,62802,
55238,60590,
55239,59814,
55240,60281,
55241,62604,
55242,61568,
55243,62019,
55244,60338,
55245,62567,
55246,61536,
55247,62989,
55248,59280,
55249,60928,
55250,62850,
55251,62888,
55252,62815,
55253,59709,
55254,60126,
55255,62037,
55256,59606,
55257,59580,
55258,62836,
55259,59794,
55260,59527,
55261,59358,
55262,59299,
55263,59706,
55264,59963,
55265,61001,
55266,62746,
55267,61015,
55268,61941,
55269,62511,
55270,62424,
55271,59837,
55272,62729,
55273,60824,
55274,61453,
55275,60172,
55276,59773,
55277,59238,
55278,61742,
55279,62274,
55280,62080,
55281,61779,
